Datetime,Water Level (m)
2024-10-28 00:00:00,0.016482603
2024-10-28 01:00:00,0.021919316
2024-10-28 02:00:00,0.026787251
2024-10-28 03:00:00,0.030896984
2024-10-28 04:00:00,0.034247667
2024-10-28 05:00:00,0.036937457
2024-10-28 06:00:00,0.039787695
2024-10-28 07:00:00,0.043832593
2024-10-28 08:00:00,0.049578242
2024-10-28 09:00:00,0.05715731
2024-10-28 10:00:00,0.06652279
2024-10-28 11:00:00,0.077227555
2024-10-28 12:00:00,0.08831179
2024-10-28 13:00:00,0.098605454
2024-10-28 14:00:00,0.106241636
2024-10-28 15:00:00,0.112663485
2024-10-28 16:00:00,0.11991902
2024-10-28 17:00:00,0.122924685
2024-10-28 18:00:00,0.12695628
2024-10-28 19:00:00,0.1311035
2024-10-28 20:00:00,0.13940151
2024-10-28 21:00:00,0.14718917
2024-10-28 22:00:00,0.15484823
2024-10-28 23:00:00,0.16258283
2024-10-29 00:00:00,0.17219247
2024-10-29 01:00:00,0.18096402
2024-10-29 02:00:00,0.19092226
2024-10-29 03:00:00,0.20057563
2024-10-29 04:00:00,0.20964366
2024-10-29 05:00:00,0.21787691
2024-10-29 06:00:00,0.22483428
2024-10-29 07:00:00,0.23181595
2024-10-29 08:00:00,0.2401354
2024-10-29 09:00:00,0.24962428
2024-10-29 10:00:00,0.25976565
2024-10-29 11:00:00,0.2713076
2024-10-29 12:00:00,0.2834193
2024-10-29 13:00:00,0.29518712
2024-10-29 14:00:00,0.30674207
2024-10-29 15:00:00,0.31753695
2024-10-29 16:00:00,0.3272832
2024-10-29 17:00:00,0.33621195
2024-10-29 18:00:00,0.34448954
2024-10-29 19:00:00,0.35251677
2024-10-29 20:00:00,0.36080694
2024-10-29 21:00:00,0.37027916
2024-10-29 22:00:00,0.38118112
2024-10-29 23:00:00,0.39317912
2024-10-30 00:00:00,0.40575674
2024-10-30 01:00:00,0.41844675
2024-10-30 02:00:00,0.43077847
2024-10-30 03:00:00,0.44335267
2024-10-30 04:00:00,0.4569046
2024-10-30 05:00:00,0.47101825
2024-10-30 06:00:00,0.4853606
2024-10-30 07:00:00,0.49991146
2024-10-30 08:00:00,0.51510143
2024-10-30 09:00:00,0.5312531
2024-10-30 10:00:00,0.548441
2024-10-30 11:00:00,0.56655276
2024-10-30 12:00:00,0.5850974
2024-10-30 13:00:00,0.6035749
2024-10-30 14:00:00,0.62146884
2024-10-30 15:00:00,0.6385276
2024-10-30 16:00:00,0.65461695
2024-10-30 17:00:00,0.6695731
2024-10-30 18:00:00,0.68360186
2024-10-30 19:00:00,0.69705355
2024-10-30 20:00:00,0.7104406
2024-10-30 21:00:00,0.7242884
2024-10-30 22:00:00,0.7391156
2024-10-30 23:00:00,0.7547508
2024-10-31 00:00:00,0.77100134
2024-10-31 01:00:00,0.7873486
2024-10-31 02:00:00,0.803244
2024-10-31 03:00:00,0.81826276
2024-10-31 04:00:00,0.83271223
2024-10-31 05:00:00,0.8462748
2024-10-31 06:00:00,0.8589565
2024-10-31 07:00:00,0.8733524
2024-10-31 08:00:00,0.8879435
2024-10-31 09:00:00,0.90268683
2024-10-31 10:00:00,0.9178277
2024-10-31 11:00:00,0.93325514
2024-10-31 12:00:00,0.94885844
2024-10-31 13:00:00,0.96422905
2024-10-31 14:00:00,0.97901046
2024-10-31 15:00:00,0.9929269
2024-10-31 16:00:00,1.0059597
2024-10-31 17:00:00,1.0180135
2024-10-31 18:00:00,1.029022
2024-10-31 19:00:00,1.039111
2024-10-31 20:00:00,1.0487101
2024-10-31 21:00:00,1.0584362
2024-10-31 22:00:00,1.0687261
2024-10-31 23:00:00,1.0799041
2024-11-01 00:00:00,1.0918989
2024-11-01 01:00:00,1.1043347
2024-11-01 02:00:00,1.1166484
2024-11-01 03:00:00,1.128471
2024-11-01 04:00:00,1.1395459
2024-11-01 05:00:00,1.1497248
2024-11-01 06:00:00,1.1592538
2024-11-01 07:00:00,1.16804
2024-11-01 08:00:00,1.1761669
2024-11-01 09:00:00,1.1841121
2024-11-01 10:00:00,1.1923717
2024-11-01 11:00:00,1.2012601
2024-11-01 12:00:00,1.2108256
2024-11-01 13:00:00,1.2206743
2024-11-01 14:00:00,1.2304214
2024-11-01 15:00:00,1.239828
2024-11-01 16:00:00,1.2486522
2024-11-01 17:00:00,1.2566603
2024-11-01 18:00:00,1.2637688
2024-11-01 19:00:00,1.2700989
2024-11-01 20:00:00,1.2758945
2024-11-01 21:00:00,1.2815028
2024-11-01 22:00:00,1.2874945
2024-11-01 23:00:00,1.294469
2024-11-02 00:00:00,1.302453
2024-11-02 01:00:00,1.3111229
2024-11-02 02:00:00,1.319959
2024-11-02 03:00:00,1.3284899
2024-11-02 04:00:00,1.3365257
2024-11-02 05:00:00,1.3439523
2024-11-02 06:00:00,1.3506501
2024-11-02 07:00:00,1.3565649
2024-11-02 08:00:00,1.3617419
2024-11-02 09:00:00,1.3664815
2024-11-02 10:00:00,1.3713254
2024-11-02 11:00:00,1.3768555
2024-11-02 12:00:00,1.3833519
2024-11-02 13:00:00,1.3903174
2024-11-02 14:00:00,1.3971131
2024-11-02 15:00:00,1.403523
2024-11-02 16:00:00,1.4092911
2024-11-02 17:00:00,1.4144199
2024-11-02 18:00:00,1.4188907
2024-11-02 19:00:00,1.4226018
2024-11-02 20:00:00,1.4255273
2024-11-02 21:00:00,1.4280987
2024-11-02 22:00:00,1.4308544
2024-11-02 23:00:00,1.4343847
2024-11-03 00:00:00,1.4389819
